# Quantum Hall

date: 2015/11/18 13/44/09
current: 1e9A
gate: 0.080V

B (T); Vxx (V); Vxy (V)
0.000000000000000000e+00; -1.107100000000000034e-08; 7.430940000000000761e-07
0.000000000000000000e+00; -1.127623999999999993e-08; 7.425399999999999244e-07
0.000000000000000000e+00; -1.100915999999999923e-08; 7.429579999999999219e-07
0.000000000000000000e+00; -1.081290000000000016e-08; 7.426299999999999735e-07
0.000000000000000000e+00; -1.103425999999999990e-08; 7.425999999999999924e-07
0.000000000000000000e+00; -1.152358000000000127e-08; 7.426660000000000143e-07
0.000000000000000000e+00; -1.132551999999999916e-08; 7.430880000000000164e-07
0.000000000000000000e+00; -1.081199999999999947e-08; 7.448079999999999550e-07
1.000000000000000021e-03; -9.669320000000001512e-09; 7.424779999999999070e-07
2.000000000000000042e-03; -5.417679999999999845e-09; 7.430819999999999567e-07
3.000000000000000062e-03; -4.078539999999999753e-10; 7.427500000000000037e-07
4.000000000000000083e-03; 4.437960000000000255e-09; 7.451119999999999821e-07
6.000000000000000125e-03; 8.666280000000001221e-09; 7.427619999999999114e-07
8.000000000000000167e-03; 1.342873999999999886e-08; 7.428799999999999923e-07
8.999999999999999320e-03; 1.691321999999999797e-08; 7.430479999999999710e-07
1.000000000000000021e-02; 2.283980000000000048e-08; 7.429600000000000830e-07
1.200000000000000025e-02; 2.722060000000000090e-08; 7.429059999999999688e-07
1.299999999999999940e-02; 3.148820000000000134e-08; 7.425839999999999743e-07
1.499999999999999944e-02; 3.569060000000000329e-08; 7.433600000000000072e-07
1.600000000000000033e-02; 4.059279999999999407e-08; 7.427960000000000029e-07
1.700000000000000122e-02; 4.518319999999999923e-08; 7.428139999999999704e-07
1.899999999999999953e-02; 4.971819999999999981e-08; 7.429280000000000467e-07
2.000000000000000042e-02; 5.448239999999999955e-08; 7.429320000000000513e-07
2.199999999999999872e-02; 5.894639999999999902e-08; 7.447999999999999460e-07
2.299999999999999961e-02; 6.342119999999999354e-08; 7.428939999999999552e-07
2.400000000000000050e-02; 6.795160000000000345e-08; 7.431220000000000020e-07
2.599999999999999881e-02; 7.277859999999999764e-08; 7.429160000000000331e-07
2.699999999999999969e-02; 7.715019999999999689e-08; 7.433440000000000949e-07
2.800000000000000058e-02; 8.185179999999999977e-08; 7.425739999999999100e-07
2.999999999999999889e-02; 8.615799999999999633e-08; 7.427879999999999939e-07
3.200000000000000067e-02; 9.067579999999999990e-08; 7.428660000000000294e-07
3.300000000000000155e-02; 9.555919999999999981e-08; 7.427919999999999984e-07
3.400000000000000244e-02; 1.003431999999999982e-07; 7.426420000000000930e-07
3.599999999999999728e-02; 1.048674000000000037e-07; 7.424619999999999948e-07
3.699999999999999817e-02; 1.086689999999999919e-07; 7.443759999999999946e-07
3.899999999999999994e-02; 1.139496000000000028e-07; 7.425379999999999751e-07
4.000000000000000083e-02; 1.187253999999999945e-07; 7.426679999999999637e-07
4.200000000000000261e-02; 1.228147999999999941e-07; 7.423440000000000198e-07
4.299999999999999656e-02; 1.268091999999999918e-07; 7.440940000000000454e-07
4.399999999999999745e-02; 1.323549999999999963e-07; 7.423840000000000652e-07
4.599999999999999922e-02; 1.367904000000000177e-07; 7.425879999999999788e-07
4.700000000000000011e-02; 1.411190000000000079e-07; 7.423419999999999646e-07
4.900000000000000189e-02; 1.462077999999999971e-07; 7.440800000000000825e-07
5.000000000000000278e-02; 1.504799999999999816e-07; 7.421579999999999677e-07
5.099999999999999672e-02; 1.550219999999999968e-07; 7.420100000000000116e-07
5.299999999999999850e-02; 1.596383999999999851e-07; 7.421060000000000146e-07
5.399999999999999939e-02; 1.642581999999999984e-07; 7.436939999999999095e-07
5.600000000000000117e-02; 1.685968000000000000e-07; 7.419260000000000223e-07
5.700000000000000205e-02; 1.734507999999999983e-07; 7.420439999999999973e-07
5.800000000000000294e-02; 1.781038000000000069e-07; 7.417999999999999323e-07
5.999999999999999778e-02; 1.817918000000000066e-07; 7.433640000000000117e-07
6.099999999999999867e-02; 1.869162000000000151e-07; 7.415159999999999279e-07
6.300000000000000044e-02; 1.918283999999999841e-07; 7.415460000000000149e-07
6.400000000000000133e-02; 1.962573999999999770e-07; 7.411959999999999886e-07
6.600000000000000311e-02; 2.009139999999999950e-07; 7.412100000000000574e-07
6.700000000000000400e-02; 2.052680000000000087e-07; 7.410460000000000832e-07
6.800000000000000488e-02; 2.103199999999999934e-07; 7.410460000000000832e-07
7.000000000000000666e-02; 2.146020000000000048e-07; 7.411299999999999667e-07
7.099999999999999367e-02; 2.193019999999999874e-07; 7.407980000000000138e-07
7.299999999999999545e-02; 2.235939999999999837e-07; 7.406380000000000441e-07
7.399999999999999634e-02; 2.288319999999999940e-07; 7.406720000000000297e-07
7.599999999999999811e-02; 2.331419999999999842e-07; 7.407300000000000425e-07
7.699999999999999900e-02; 2.381639999999999878e-07; 7.404859999999999776e-07
7.799999999999999989e-02; 2.424219999999999720e-07; 7.403760000000000117e-07
8.000000000000000167e-02; 2.467399999999999979e-07; 7.403899999999999746e-07
8.100000000000000255e-02; 2.512720000000000017e-07; 7.401340000000000020e-07
8.300000000000000433e-02; 2.559460000000000077e-07; 7.416520000000000822e-07
8.400000000000000522e-02; 2.596600000000000368e-07; 7.399859999999999401e-07
8.599999999999999312e-02; 2.649460000000000485e-07; 7.400739999999999340e-07
8.699999999999999400e-02; 2.695800000000000092e-07; 7.399400000000000467e-07
8.799999999999999489e-02; 2.742960000000000098e-07; 7.394480000000000182e-07
8.999999999999999667e-02; 2.791900000000000006e-07; 7.395080000000000863e-07
9.099999999999999756e-02; 2.832060000000000016e-07; 7.395619999999999887e-07
9.299999999999999933e-02; 2.878920000000000212e-07; 7.395320000000000076e-07
9.400000000000000022e-02; 2.927980000000000256e-07; 7.407159999999999737e-07
9.500000000000000111e-02; 2.970919999999999712e-07; 7.390399999999999791e-07
9.700000000000000289e-02; 3.014359999999999736e-07; 7.391479999999999957e-07
9.800000000000000377e-02; 3.062040000000000332e-07; 7.391479999999999957e-07
1.000000000000000056e-01; 3.108159999999999689e-07; 7.403619999999999429e-07
1.010000000000000064e-01; 3.144680000000000337e-07; 7.389619999999999436e-07
1.019999999999999934e-01; 3.198360000000000325e-07; 7.389179999999999996e-07
1.039999999999999952e-01; 3.242180000000000250e-07; 7.387299999999999982e-07
1.059999999999999970e-01; 3.291319999999999855e-07; 7.400159999999999211e-07
1.069999999999999979e-01; 3.327480000000000094e-07; 7.385940000000000557e-07
1.079999999999999988e-01; 3.377180000000000334e-07; 7.386900000000000587e-07
1.089999999999999997e-01; 3.422159999999999986e-07; 7.385399999999999415e-07
1.110000000000000014e-01; 3.469700000000000424e-07; 7.396680000000000559e-07
1.130000000000000032e-01; 3.516139999999999614e-07; 7.381299999999999531e-07
1.140000000000000041e-01; 3.557740000000000199e-07; 7.381140000000000408e-07
1.150000000000000050e-01; 3.604880000000000183e-07; 7.380060000000000242e-07
1.170000000000000068e-01; 3.652919999999999599e-07; 7.380420000000000651e-07
1.179999999999999938e-01; 3.688579999999999800e-07; 7.377459999999999412e-07
1.199999999999999956e-01; 3.740880000000000342e-07; 7.378819999999999895e-07
1.209999999999999964e-01; 3.788559999999999879e-07; 7.378540000000000636e-07
1.219999999999999973e-01; 3.836360000000000082e-07; 7.377019999999999972e-07
1.239999999999999991e-01; 3.881340000000000264e-07; 7.374720000000000011e-07
1.250000000000000000e-01; 3.925100000000000121e-07; 7.375940000000000865e-07
1.270000000000000018e-01; 3.969680000000000379e-07; 7.375720000000000086e-07
1.280000000000000027e-01; 4.016220000000000212e-07; 7.372859999999999490e-07
1.290000000000000036e-01; 4.049839999999999688e-07; 7.373259999999999943e-07
1.310000000000000053e-01; 4.105619999999999940e-07; 7.373880000000000117e-07
1.320000000000000062e-01; 4.151100000000000160e-07; 7.372420000000000049e-07
1.340000000000000080e-01; 4.200819999999999893e-07; 7.375979999999999851e-07
1.350000000000000089e-01; 4.244139999999999780e-07; 7.372319999999999407e-07
1.370000000000000107e-01; 4.287639999999999872e-07; 7.372080000000000193e-07
1.380000000000000115e-01; 4.331899999999999767e-07; 7.371440000000000526e-07
1.400000000000000133e-01; 4.382780000000000286e-07; 7.380100000000000288e-07
1.409999999999999865e-01; 4.420239999999999882e-07; 7.367340000000000642e-07
1.419999999999999873e-01; 4.472760000000000143e-07; 7.366860000000000098e-07
1.439999999999999891e-01; 4.518519999999999621e-07; 7.366640000000000378e-07
1.449999999999999900e-01; 4.567660000000000284e-07; 7.366219999999999372e-07
1.469999999999999918e-01; 4.600400000000000351e-07; 7.365319999999999940e-07
1.479999999999999927e-01; 4.653100000000000287e-07; 7.364919999999999486e-07
1.489999999999999936e-01; 4.696019999999999721e-07; 7.365060000000000174e-07
1.509999999999999953e-01; 4.746100000000000392e-07; 7.376600000000000025e-07
1.519999999999999962e-01; 4.780380000000000088e-07; 7.361359999999999684e-07
1.539999999999999980e-01; 4.832759999999999661e-07; 7.361799999999999125e-07
1.549999999999999989e-01; 4.881880000000000302e-07; 7.364560000000000137e-07
1.559999999999999998e-01; 4.931700000000000148e-07; 7.361799999999999125e-07
1.580000000000000016e-01; 4.971919999999999697e-07; 7.357659999999999195e-07
1.590000000000000024e-01; 5.016059999999999456e-07; 7.360199999999999428e-07
1.610000000000000042e-01; 5.063219999999999992e-07; 7.359880000000000124e-07
1.620000000000000051e-01; 5.112140000000000406e-07; 7.368759999999999605e-07
1.630000000000000060e-01; 5.144240000000000277e-07; 7.358579999999999179e-07
1.650000000000000078e-01; 5.197219999999999471e-07; 7.358680000000000881e-07
1.670000000000000095e-01; 5.244660000000000325e-07; 7.355520000000000474e-07
1.680000000000000104e-01; 5.291760000000000263e-07; 7.355099999999999468e-07
1.690000000000000113e-01; 5.326019999999999407e-07; 7.354119999999999945e-07
1.710000000000000131e-01; 5.377279999999999827e-07; 7.350940000000000045e-07
1.719999999999999862e-01; 5.424759999999999668e-07; 7.354740000000000119e-07
1.729999999999999871e-01; 5.472759999999999039e-07; 7.351960000000000672e-07
1.749999999999999889e-01; 5.505940000000000134e-07; 7.352179999999999334e-07
1.759999999999999898e-01; 5.562320000000000007e-07; 7.353980000000000316e-07
1.779999999999999916e-01; 5.606799999999999622e-07; 7.351000000000000643e-07
1.789999999999999925e-01; 5.658500000000000542e-07; 7.362140000000000039e-07
1.809999999999999942e-01; 5.691339999999999663e-07; 7.350199999999999735e-07
1.819999999999999951e-01; 5.749400000000000383e-07; 7.349500000000000530e-07
1.829999999999999960e-01; 5.793219999999999779e-07; 7.348160000000000599e-07
1.849999999999999978e-01; 5.842079999999999596e-07; 7.359980000000000767e-07
1.869999999999999996e-01; 5.874999999999999866e-07; 7.347419999999999230e-07
