# Quantum Hall

date: 2015/11/18 13/34/22
current: 1e9A
gate: 0.040V

B (T); Vxx (V); Vxy (V)
0.000000000000000000e+00; -8.911119999999999726e-09; 6.039539999999999565e-07
0.000000000000000000e+00; -9.095739999999999033e-09; 6.024779999999999769e-07
0.000000000000000000e+00; -8.972060000000000138e-09; 6.023019999999999891e-07
0.000000000000000000e+00; -9.116360000000000973e-09; 6.022780000000000678e-07
0.000000000000000000e+00; -8.919180000000001454e-09; 6.026720000000000381e-07
0.000000000000000000e+00; -9.151300000000001682e-09; 6.024740000000000782e-07
0.000000000000000000e+00; -8.998939999999999119e-09; 6.020599999999999794e-07
1.000000000000000021e-03; -5.917760000000000046e-09; 6.024760000000000276e-07
3.000000000000000062e-03; -1.632973999999999825e-09; 6.041180000000000366e-07
4.000000000000000083e-03; 2.733359999999999751e-09; 6.026599999999999186e-07
5.000000000000000104e-03; 6.941080000000000602e-09; 6.025140000000000177e-07
6.000000000000000125e-03; 1.143288000000000033e-08; 6.026960000000000653e-07
8.000000000000000167e-03; 1.518440000000000063e-08; 6.039800000000000389e-07
1.000000000000000021e-02; 1.950504000000000113e-08; 6.023339999999999195e-07
1.099999999999999936e-02; 2.373160000000000188e-08; 6.026620000000000797e-07
1.200000000000000025e-02; 2.718380000000000285e-08; 6.023780000000000753e-07
1.299999999999999940e-02; 3.191839999999999682e-08; 6.043660000000000002e-07
1.499999999999999944e-02; 3.627320000000000084e-08; 6.025859999999999935e-07
1.700000000000000122e-02; 4.006400000000000062e-08; 6.026799999999999413e-07
1.799999999999999864e-02; 4.451380000000000649e-08; 6.023939999999999875e-07
1.899999999999999953e-02; 4.893379999999999577e-08; 6.026599999999999186e-07
2.100000000000000130e-02; 5.324199999999999461e-08; 6.024740000000000782e-07
2.199999999999999872e-02; 5.721399999999999868e-08; 6.022899999999999755e-07
2.400000000000000050e-02; 6.145659999999999724e-08; 6.026380000000000525e-07
2.500000000000000139e-02; 6.590000000000000115e-08; 6.026319999999999927e-07
2.599999999999999881e-02; 7.007640000000000670e-08; 6.022720000000000080e-07
2.800000000000000058e-02; 7.440319999999999221e-08; 6.025499999999999527e-07
2.999999999999999889e-02; 7.838420000000000649e-08; 6.022260000000000088e-07
3.099999999999999978e-02; 8.269759999999999534e-08; 6.037899999999999823e-07
3.200000000000000067e-02; 8.674939999999999989e-08; 6.020179999999999847e-07
3.400000000000000244e-02; 9.095900000000000074e-08; 6.023420000000000345e-07
3.500000000000000333e-02; 9.458680000000000097e-08; 6.020259999999999938e-07
3.599999999999999728e-02; 9.949979999999998680e-08; 6.023500000000000435e-07
3.799999999999999906e-02; 1.039001999999999949e-07; 6.017919999999999931e-07
3.899999999999999994e-02; 1.079071999999999989e-07; 6.022099999999999907e-07
4.100000000000000172e-02; 1.115306000000000127e-07; 6.022059999999999861e-07
4.200000000000000261e-02; 1.161800000000000120e-07; 6.019320000000000460e-07
4.399999999999999745e-02; 1.206244000000000038e-07; 6.019139999999999727e-07
4.499999999999999833e-02; 1.245837999999999883e-07; 6.020019999999999666e-07
4.599999999999999922e-02; 1.289044000000000223e-07; 6.018960000000000052e-07
4.800000000000000100e-02; 1.329024000000000030e-07; 6.017580000000000075e-07
4.900000000000000189e-02; 1.374292000000000167e-07; 6.016420000000000877e-07
5.099999999999999672e-02; 1.415265999999999989e-07; 6.017060000000000544e-07
5.199999999999999761e-02; 1.455389999999999905e-07; 6.014439999999999162e-07
5.399999999999999939e-02; 1.500047999999999881e-07; 6.014260000000000546e-07
5.500000000000000028e-02; 1.544311999999999992e-07; 6.018440000000000521e-07
5.700000000000000205e-02; 1.589480000000000016e-07; 6.013739999999999956e-07
5.800000000000000294e-02; 1.627577999999999965e-07; 6.025779999999999844e-07
5.899999999999999689e-02; 1.668077999999999831e-07; 6.011539999999999579e-07
5.999999999999999778e-02; 1.712126000000000173e-07; 6.010980000000000003e-07
6.199999999999999956e-02; 1.756667999999999964e-07; 6.009400000000000858e-07
6.400000000000000133e-02; 1.791988000000000045e-07; 6.019439999999999537e-07
6.500000000000000222e-02; 1.839209999999999963e-07; 6.004859999999999416e-07
6.600000000000000311e-02; 1.884861999999999954e-07; 6.006540000000000262e-07
6.800000000000000488e-02; 1.923523999999999960e-07; 6.003640000000000680e-07
6.900000000000000577e-02; 1.965584000000000007e-07; 6.015280000000000114e-07
7.099999999999999367e-02; 2.005720000000000043e-07; 6.002899999999999311e-07
7.199999999999999456e-02; 2.051619999999999944e-07; 5.999999999999999728e-07
7.299999999999999545e-02; 2.090560000000000159e-07; 6.001079999999999894e-07
7.499999999999999722e-02; 2.135459999999999986e-07; 6.011079999999999587e-07
7.599999999999999811e-02; 2.173540000000000020e-07; 5.997060000000000101e-07
7.799999999999999989e-02; 2.217200000000000028e-07; 5.997079999999999594e-07
7.900000000000000078e-02; 2.258600000000000121e-07; 5.994059999999999875e-07
8.000000000000000167e-02; 2.293019999999999975e-07; 6.004339999999999885e-07
8.100000000000000255e-02; 2.341779999999999943e-07; 5.992039999999999173e-07
8.300000000000000433e-02; 2.385059999999999785e-07; 5.992480000000000731e-07
8.500000000000000611e-02; 2.425040000000000121e-07; 5.992899999999999619e-07
8.599999999999999312e-02; 2.458720000000000195e-07; 5.990599999999999658e-07
8.699999999999999400e-02; 2.508080000000000049e-07; 5.989439999999999401e-07
8.899999999999999578e-02; 2.550519999999999998e-07; 5.987799999999999659e-07
8.999999999999999667e-02; 2.591119999999999978e-07; 5.991460000000000103e-07
9.199999999999999845e-02; 2.628740000000000284e-07; 5.985900000000000151e-07
9.299999999999999933e-02; 2.676059999999999943e-07; 5.983880000000000508e-07
9.400000000000000022e-02; 2.721039999999999595e-07; 5.985820000000000061e-07
9.600000000000000200e-02; 2.764540000000000216e-07; 5.981699999999999624e-07
9.700000000000000289e-02; 2.797060000000000034e-07; 5.978959999999999164e-07
9.900000000000000466e-02; 2.844139999999999950e-07; 5.976420000000001049e-07
1.000000000000000056e-01; 2.893039999999999812e-07; 5.978339999999998991e-07
1.019999999999999934e-01; 2.930640000000000095e-07; 5.989139999999999590e-07
1.029999999999999943e-01; 2.964900000000000298e-07; 5.975739999999999219e-07
1.039999999999999952e-01; 3.013759999999999585e-07; 5.972980000000000324e-07
1.059999999999999970e-01; 3.052980000000000118e-07; 5.972440000000000241e-07
1.069999999999999979e-01; 3.100819999999999837e-07; 5.971900000000000158e-07
1.089999999999999997e-01; 3.141919999999999854e-07; 5.969440000000000016e-07
1.100000000000000006e-01; 3.182099999999999887e-07; 5.970680000000000363e-07
1.110000000000000014e-01; 3.224859999999999669e-07; 5.970979999999999115e-07
1.130000000000000032e-01; 3.268340000000000267e-07; 5.980380000000000245e-07
1.140000000000000041e-01; 3.299880000000000032e-07; 5.966159999999999473e-07
1.160000000000000059e-01; 3.349179999999999819e-07; 5.966739999999999601e-07
1.170000000000000068e-01; 3.392500000000000236e-07; 5.966199999999999518e-07
1.179999999999999938e-01; 3.432040000000000072e-07; 5.969900000000000008e-07
1.199999999999999956e-01; 3.464139999999999943e-07; 5.965739999999999526e-07
1.219999999999999973e-01; 3.513780000000000115e-07; 5.961200000000000202e-07
1.229999999999999982e-01; 3.555720000000000026e-07; 5.970060000000000190e-07
1.239999999999999991e-01; 3.597380000000000148e-07; 5.964640000000000926e-07
1.250000000000000000e-01; 3.633539999999999858e-07; 5.962160000000000231e-07
1.270000000000000018e-01; 3.681480000000000220e-07; 5.962240000000000322e-07
1.290000000000000036e-01; 3.727919999999999940e-07; 5.970940000000000129e-07
1.300000000000000044e-01; 3.767959999999999814e-07; 5.960339999999999756e-07
1.310000000000000053e-01; 3.802499999999999804e-07; 5.959759999999999628e-07
1.320000000000000062e-01; 3.852839999999999711e-07; 5.959539999999999907e-07
1.340000000000000080e-01; 3.897300000000000362e-07; 5.957360000000000083e-07
1.360000000000000098e-01; 3.935960000000000259e-07; 5.958700000000000014e-07
1.370000000000000107e-01; 3.969119999999999744e-07; 5.954760000000000311e-07
1.380000000000000115e-01; 4.016619999999999607e-07; 5.957739999999999984e-07
1.400000000000000133e-01; 4.064680000000000104e-07; 5.954400000000000961e-07
1.419999999999999873e-01; 4.105139999999999925e-07; 5.955619999999999698e-07
1.429999999999999882e-01; 4.147659999999999965e-07; 5.954120000000000644e-07
1.439999999999999891e-01; 4.188140000000000338e-07; 5.954279999999999766e-07
1.449999999999999900e-01; 4.231219999999999953e-07; 5.954500000000000545e-07
1.459999999999999909e-01; 4.270919999999999971e-07; 5.951300000000000093e-07
1.479999999999999927e-01; 4.315320000000000025e-07; 5.951040000000000328e-07
1.499999999999999944e-01; 4.353020000000000422e-07; 5.950300000000000018e-07
1.509999999999999953e-01; 4.392500000000000190e-07; 5.952979999999999881e-07
1.519999999999999962e-01; 4.438799999999999751e-07; 5.948460000000000049e-07
1.539999999999999980e-01; 4.471659999999999954e-07; 5.946780000000000262e-07
1.559999999999999998e-01; 4.522059999999999929e-07; 5.944280000000000074e-07
1.570000000000000007e-01; 4.567219999999999786e-07; 5.948320000000000420e-07
1.580000000000000016e-01; 4.608999999999999515e-07; 5.946420000000000912e-07
1.600000000000000033e-01; 4.653079999999999735e-07; 5.945480000000000376e-07
1.610000000000000042e-01; 4.688980000000000209e-07; 5.942100000000000249e-07
1.630000000000000060e-01; 4.734800000000000284e-07; 5.945940000000000368e-07
1.640000000000000069e-01; 4.775820000000000211e-07; 5.940680000000000227e-07
1.650000000000000078e-01; 4.806960000000000052e-07; 5.943320000000000044e-07
